ID,TEXT,LABELS,INCLUDED,TRANSLATED
1,"Patwaari aur youthiye larte rehein ge, meanwhile Nawaz and Niyazi will loot the country and leave for England.
","{'id': '1', 'text': 'Patwaari aur youthiye larte rehein ge, meanwhile Nawaz and Niyazi will loot the country and leave for England.\n', 'labels': [{'start_index': '0', 'end_index': '21', 'text_fragment': 'Patwaari aur youthiye', 'technique': 'Name calling/Labeling'}, {'start_index': '0', 'end_index': '21', 'text_fragment': 'Patwaari aur youthiye', 'technique': 'Loaded Language'}, {'start_index': '49', 'end_index': '109', 'text_fragment': 'Nawaz and Niyazi will loot the country and leave for England', 'technique': 'Smears'}]}",0,"Patwari and Uthiye will continue to write, meanwhile Nawaz and Niazi will return to England.
"
2,"I hope women get over their bad boy syndrome soon. Pehle ameer baap ki aulaad dekh ke shaadi krti hain phir domestic abuse ke randi rone, you girls know what you're getting yourself into.
","{'id': '2', 'text': ""I hope women get over their bad boy syndrome soon. Pehle ameer baap ki aulaad dekh ke shaadi krti hain phir domestic abuse ke randi rone, you girls know what you're getting yourself into.\n"", 'labels': [{'start_index': '0', 'end_index': '186', 'text_fragment': ""I hope women get over their bad boy syndrome soon. Pehle ameer baap ki aulaad dekh ke shaadi krti hain phir domestic abuse ke randi rone, you girls know what you're getting yourself into"", 'technique': 'Appeal to fear/prejudice'}, {'start_index': '126', 'end_index': '136', 'text_fragment': 'randi rone', 'technique': 'Name calling/Labeling'}, {'start_index': '126', 'end_index': '136', 'text_fragment': 'randi rone', 'technique': 'Loaded Language'}, {'start_index': '126', 'end_index': '131', 'text_fragment': 'randi', 'technique': 'Name calling/Labeling'}, {'start_index': '126', 'end_index': '131', 'text_fragment': 'randi', 'technique': 'Loaded Language'}, {'start_index': '51', 'end_index': '136', 'text_fragment': 'Pehle ameer baap ki aulaad dekh ke shaadi krti hain phir domestic abuse ke randi rone', 'technique': 'Causal Oversimplification'}]}",0,"I hope women get over their bad boy syndrome soon. First you see rich father's children get married then cry domestic abuse, you girls know what you are getting yourself into.
"
3,Kohli se itna pyaar hai toh India shift ho jao.These toxic twitteraties are spewing hate against Pak cricket team 24/7 while praising their najaiz baap Kohli.,"{'id': '3', 'text': 'Kohli se itna pyaar hai toh India shift ho jao.These toxic twitteraties are spewing hate against Pak cricket team 24/7 while praising their najaiz baap Kohli.', 'labels': [{'start_index': '14', 'end_index': '19', 'text_fragment': 'pyaar', 'technique': 'Loaded Language'}, {'start_index': '140', 'end_index': '157', 'text_fragment': 'najaiz baap Kohli', 'technique': 'Name calling/Labeling'}, {'start_index': '47', 'end_index': '157', 'text_fragment': 'These toxic twitteraties are spewing hate against Pak cricket team 24/7 while praising their najaiz baap Kohli', 'technique': 'Presenting Irrelevant Data (Red Herring)'}, {'start_index': '53', 'end_index': '58', 'text_fragment': 'toxic', 'technique': 'Loaded Language'}, {'start_index': '53', 'end_index': '71', 'text_fragment': 'toxic twitteraties', 'technique': 'Name calling/Labeling'}, {'start_index': '84', 'end_index': '88', 'text_fragment': 'hate', 'technique': 'Loaded Language'}]}",0,"If you love Kohli so much, then shift to India. These venomous tweeters are spreading hate against Pakistan cricket team 24/7 while praising their lousy father Kohli."
4,Saary desi landey ke liberals aur feminazis Imran Khan ke against hain just because he wants to promote Islamic values in the country.,"{'id': '4', 'text': 'Saary desi landey ke liberals aur feminazis Imran Khan ke against hain just because he wants to promote Islamic values in the country.', 'labels': [{'start_index': '0', 'end_index': '133', 'text_fragment': 'Saary desi landey ke liberals aur feminazis Imran Khan ke against hain just because he wants to promote Islamic values in the country', 'technique': 'Causal Oversimplification'}, {'start_index': '104', 'end_index': '118', 'text_fragment': 'Islamic values', 'technique': 'Loaded Language'}, {'start_index': '34', 'end_index': '43', 'text_fragment': 'feminazis', 'technique': 'Loaded Language'}, {'start_index': '34', 'end_index': '43', 'text_fragment': 'feminazis', 'technique': 'Name calling/Labeling'}, {'start_index': '6', 'end_index': '29', 'text_fragment': 'desi landey ke liberals', 'technique': 'Name calling/Labeling'}]}",0,All Desiland liberals and feminists are against Imran Khan because he wants to promote Islamic values in the country.
5,Why is Halloween celebration gaining popularity in Pakistan in the first place? Angraiz khud toh chale gye but humari ghulamana soch nhi gyee.,"{'id': '5', 'text': 'Why is Halloween celebration gaining popularity in Pakistan in the first place? Angraiz khud toh chale gye but humari ghulamana soch nhi gyee.', 'labels': [{'start_index': '0', 'end_index': '141', 'text_fragment': 'Why is Halloween celebration gaining popularity in Pakistan in the first place? Angraiz khud toh chale gye but humari ghulamana soch nhi gyee', 'technique': 'Presenting Irrelevant Data (Red Herring)'}, {'start_index': '118', 'end_index': '132', 'text_fragment': 'ghulamana soch', 'technique': 'Name calling/Labeling'}, {'start_index': '80', 'end_index': '141', 'text_fragment': 'Angraiz khud toh chale gye but humari ghulamana soch nhi gyee', 'technique': 'Thought-terminating cliché'}]}",0,Why is Halloween celebration gaining popularity in Pakistan? Thank you is gone but our slavish thinking is not gone.
6,Nudity is the definition of a 'modern' woman for the so called Paki feminists. Foreign funding ke through iss Islamic Mulk mein fahashi phelanay ki saazish ki jaa rhi hai,"{'id': '6', 'text': ""Nudity is the definition of a 'modern' woman for the so called Paki feminists. Foreign funding ke through iss Islamic Mulk mein fahashi phelanay ki saazish ki jaa rhi hai"", 'labels': [{'start_index': '0', 'end_index': '6', 'text_fragment': 'Nudity', 'technique': 'Loaded Language'}, {'start_index': '128', 'end_index': '135', 'text_fragment': 'fahashi', 'technique': 'Loaded Language'}]}",0,Nudity is the definition of the 'modern' woman for so-called pure feminists. IS is being facilitated to spread obscenity in the Islamic country through foreign funding
7,"See this group of foreign funded women dancing on the roads, phir kekte hain Pakistan mein zalzale kyun aate hain. Ye Khuda ka azaab nhi hai toh aur kya hai?

","{'id': '7', 'text': 'See this group of foreign funded women dancing on the roads, phir kekte hain Pakistan mein zalzale kyun aate hain. Ye Khuda ka azaab nhi hai toh aur kya hai?\n\n', 'labels': [{'start_index': '0', 'end_index': '113', 'text_fragment': 'See this group of foreign funded women dancing on the roads, phir kekte hain Pakistan mein zalzale kyun aate hain', 'technique': 'Presenting Irrelevant Data (Red Herring)'}, {'start_index': '0', 'end_index': '113', 'text_fragment': 'See this group of foreign funded women dancing on the roads, phir kekte hain Pakistan mein zalzale kyun aate hain', 'technique': 'Causal Oversimplification'}, {'start_index': '127', 'end_index': '132', 'text_fragment': 'azaab', 'technique': 'Loaded Language'}]}",0,"Watch this group of foreign-funded women dance in the streets, then see why earthquakes happen in Pakistan. If this is not God's punishment, what else is?

"
8,"Kya yeh hai Imran Khan ka Naya Pakistan? Bad administration and rampant inflation, an absolute failure.","{'id': '8', 'text': 'Kya yeh hai Imran Khan ka Naya Pakistan? Bad administration and rampant inflation, an absolute failure.', 'labels': [{'start_index': '0', 'end_index': '103', 'text_fragment': 'Kya yeh hai Imran Khan ka Naya Pakistan? Bad administration and rampant inflation, an absolute failure.', 'technique': 'Smears'}, {'start_index': '26', 'end_index': '39', 'text_fragment': 'Naya Pakistan', 'technique': 'Name calling/Labeling'}, {'start_index': '41', 'end_index': '59', 'text_fragment': 'Bad administration', 'technique': 'Name calling/Labeling'}, {'start_index': '41', 'end_index': '44', 'text_fragment': 'Bad', 'technique': 'Loaded Language'}, {'start_index': '64', 'end_index': '81', 'text_fragment': 'rampant inflation', 'technique': 'Name calling/Labeling'}, {'start_index': '64', 'end_index': '71', 'text_fragment': 'rampant', 'technique': 'Loaded Language'}]}",0,"Is this Imran Khan's new Pakistan? Bad management and rampant inflation, a total failure."
9,"Either you are a Muslim woman or a feminist, koi beech ka raasta nhi, faisla kr lo and stick to it.","{'id': '9', 'text': 'Either you are a Muslim woman or a feminist, koi beech ka raasta nhi, faisla kr lo and stick to it.', 'labels': [{'start_index': '0', 'end_index': '43', 'text_fragment': 'Either you are a Muslim woman or a feminist', 'technique': 'Black-and-white Fallacy/Dictatorship'}]}",0,"Either you are a Muslim woman or a feminist, there is no middle ground, make a decision and stick to it."
10,"Afghanion ko Pakistan se nikalo, haraamkhor humara khaa kr humein hi gaali dete hain. Also remember how they caused destruction through Kalashnikov culture in our beloved country.","{'id': '10', 'text': 'Afghanion ko Pakistan se nikalo, haraamkhor humara khaa kr humein hi gaali dete hain. Also remember how they caused destruction through Kalashnikov culture in our beloved country.', 'labels': [{'start_index': '0', 'end_index': '178', 'text_fragment': 'Afghanion ko Pakistan se nikalo, haraamkhor humara khaa kr humein hi gaali dete hain. Also remember how they caused destruction through Kalashnikov culture in our beloved country', 'technique': 'Flag-waving'}, {'start_index': '0', 'end_index': '178', 'text_fragment': 'Afghanion ko Pakistan se nikalo, haraamkhor humara khaa kr humein hi gaali dete hain. Also remember how they caused destruction through Kalashnikov culture in our beloved country', 'technique': 'Appeal to fear/prejudice'}, {'start_index': '33', 'end_index': '43', 'text_fragment': 'haraamkhor', 'technique': 'Name calling/Labeling'}, {'start_index': '33', 'end_index': '43', 'text_fragment': 'haraamkhor', 'technique': 'Loaded Language'}, {'start_index': '69', 'end_index': '74', 'text_fragment': 'gaali', 'technique': 'Loaded Language'}]}",0,"Get the Afghans out of Pakistan, the Haram eaters are giving us this street. Also remember how they wreaked havoc in our beloved country through Kalashnikov culture."
